Date,Day,Parking,Total,Occupied,Available
05-01-2018 9:00,Friday,New York,50,47,3
06-01-2018 7:15,Saturday,New York,50,36,14
06-01-2018 7:30,Saturday,New York,50,49,1
06-01-2018 7:45,Saturday,New York,50,42,8
06-01-2018 8:00,Saturday,New York,50,48,2
06-01-2018 8:15,Saturday,New York,50,37,13
06-01-2018 8:30,Saturday,New York,50,44,6
06-01-2018 8:45,Saturday,New York,50,43,7
06-01-2018 9:00,Saturday,New York,50,44,6
07-01-2018 7:15,Sunday,New York,50,42,8
07-01-2018 7:30,Sunday,New York,50,36,14
07-01-2018 7:45,Sunday,New York,50,42,8
07-01-2018 8:00,Sunday,New York,50,44,6
07-01-2018 8:15,Sunday,New York,50,40,10
07-01-2018 8:30,Sunday,New York,50,48,2
07-01-2018 8:45,Sunday,New York,50,44,6
07-01-2018 9:00,Sunday,New York,50,46,4
08-01-2018 7:15,Monday,New York,50,44,6
08-01-2018 7:30,Monday,New York,50,43,7
08-01-2018 7:45,Monday,New York,50,40,10
08-01-2018 8:00,Monday,New York,50,48,2
08-01-2018 8:15,Monday,New York,50,38,12
08-01-2018 8:30,Monday,New York,50,48,2
08-01-2018 8:45,Monday,New York,50,49,1
08-01-2018 9:00,Monday,New York,50,50,0
09-01-2018 7:15,Tuesday,New York,50,47,3
09-01-2018 7:30,Tuesday,New York,50,47,3
09-01-2018 7:45,Tuesday,New York,50,35,15
09-01-2018 8:00,Tuesday,New York,50,47,3
09-01-2018 8:15,Tuesday,New York,50,35,15
09-01-2018 8:30,Tuesday,New York,50,45,5
09-01-2018 8:45,Tuesday,New York,50,41,9
09-01-2018 9:00,Tuesday,New York,50,41,9
10-01-2018 7:15,Wednesday,New York,50,48,2
10-01-2018 7:30,Wednesday,New York,50,37,13
10-01-2018 7:45,Wednesday,New York,50,40,10
10-01-2018 8:00,Wednesday,New York,50,38,12
10-01-2018 8:15,Wednesday,New York,50,46,4
10-01-2018 8:30,Wednesday,New York,50,46,4
10-01-2018 8:45,Wednesday,New York,50,50,0
10-01-2018 9:00,Wednesday,New York,50,38,12
11-01-2018 7:15,Thursday,New York,50,35,15
11-01-2018 7:30,Thursday,New York,50,41,9
11-01-2018 7:45,Thursday,New York,50,42,8
11-01-2018 8:00,Thursday,New York,50,39,11
11-01-2018 8:15,Thursday,New York,50,50,0
11-01-2018 8:30,Thursday,New York,50,43,7
11-01-2018 8:45,Thursday,New York,50,46,4
11-01-2018 9:00,Thursday,New York,50,41,9
12-01-2018 7:15,Friday,New York,50,38,12
12-01-2018 7:30,Friday,New York,50,41,9
12-01-2018 7:45,Friday,New York,50,47,3
12-01-2018 8:00,Friday,New York,50,47,3
12-01-2018 8:15,Friday,New York,50,37,13
12-01-2018 8:30,Friday,New York,50,42,8
12-01-2018 8:45,Friday,New York,50,41,9
12-01-2018 9:00,Friday,New York,50,43,7
13-01-2018 07:15,Saturday,New York,50,35,15
13-01-2018 07:30,Saturday,New York,50,41,9
13-01-2018 07:45,Saturday,New York,50,43,7
13-01-2018 08:00,Saturday,New York,50,49,1
13-01-2018 08:15,Saturday,New York,50,42,8
13-01-2018 08:30,Saturday,New York,50,47,3
13-01-2018 08:45,Saturday,New York,50,36,14
13-01-2018 09:00,Saturday,New York,50,43,7
14-01-2018 07:15,Sunday,New York,50,40,10
14-01-2018 07:30,Sunday,New York,50,41,9
14-01-2018 07:45,Sunday,New York,50,37,13
14-01-2018 08:00,Sunday,New York,50,39,11
14-01-2018 08:15,Sunday,New York,50,39,11
14-01-2018 08:30,Sunday,New York,50,42,8
14-01-2018 08:45,Sunday,New York,50,49,1
14-01-2018 09:00,Sunday,New York,50,50,0
15-01-2018 07:15,Monday,New York,50,37,13
15-01-2018 07:30,Monday,New York,50,44,6
15-01-2018 07:45,Monday,New York,50,42,8
15-01-2018 08:00,Monday,New York,50,41,9
15-01-2018 08:15,Monday,New York,50,50,0
15-01-2018 08:30,Monday,New York,50,39,11
15-01-2018 08:45,Monday,New York,50,41,9
15-01-2018 09:00,Monday,New York,50,43,7
16-01-2018 07:15,Tuesday,New York,50,46,4
16-01-2018 07:30,Tuesday,New York,50,43,7
16-01-2018 07:45,Tuesday,New York,50,45,5
16-01-2018 08:00,Tuesday,New York,50,49,1
16-01-2018 08:15,Tuesday,New York,50,42,8
16-01-2018 08:30,Tuesday,New York,50,41,9
16-01-2018 08:45,Tuesday,New York,50,44,6
16-01-2018 09:00,Tuesday,New York,50,40,10
17-01-2018 07:15,Wednesday,New York,50,44,6
17-01-2018 07:30,Wednesday,New York,50,35,15
17-01-2018 07:45,Wednesday,New York,50,47,3
17-01-2018 08:00,Wednesday,New York,50,45,5
17-01-2018 08:15,Wednesday,New York,50,37,13
17-01-2018 08:30,Wednesday,New York,50,50,0
17-01-2018 08:45,Wednesday,New York,50,45,5
17-01-2018 09:00,Wednesday,New York,50,36,14
18-01-2018 07:15,Thursday,New York,50,48,2
18-01-2018 07:30,Thursday,New York,50,39,11
18-01-2018 07:45,Thursday,New York,50,35,15
18-01-2018 08:00,Thursday,New York,50,50,0
18-01-2018 08:15,Thursday,New York,50,48,2
18-01-2018 08:30,Thursday,New York,50,40,10
18-01-2018 08:45,Thursday,New York,50,42,8
18-01-2018 09:00,Thursday,New York,50,41,9
19-01-2018 07:15,Friday,New York,50,39,11
19-01-2018 07:30,Friday,New York,50,42,8
19-01-2018 07:45,Friday,New York,50,35,15
19-01-2018 08:00,Friday,New York,50,41,9
19-01-2018 08:15,Friday,New York,50,45,5
19-01-2018 08:30,Friday,New York,50,35,15
19-01-2018 08:45,Friday,New York,50,35,15
19-01-2018 09:00,Friday,New York,50,46,4
20-01-2018 07:15,Saturday,New York,50,39,11
20-01-2018 07:30,Saturday,New York,50,44,6
20-01-2018 07:45,Saturday,New York,50,43,7
20-01-2018 08:00,Saturday,New York,50,49,1
20-01-2018 08:15,Saturday,New York,50,38,12
20-01-2018 08:30,Saturday,New York,50,38,12
20-01-2018 08:45,Saturday,New York,50,50,0
20-01-2018 09:00,Saturday,New York,50,42,8
21-01-2018 07:15,Sunday,New York,50,46,4
21-01-2018 07:30,Sunday,New York,50,36,14
21-01-2018 07:45,Sunday,New York,50,45,5
21-01-2018 08:00,Sunday,New York,50,35,15
21-01-2018 08:15,Sunday,New York,50,50,0
21-01-2018 08:30,Sunday,New York,50,40,10
21-01-2018 08:45,Sunday,New York,50,45,5
21-01-2018 09:00,Sunday,New York,50,35,15
22-01-2018 07:15,Monday,New York,50,45,5
22-01-2018 07:30,Monday,New York,50,38,12
22-01-2018 07:45,Monday,New York,50,42,8
22-01-2018 08:00,Monday,New York,50,48,2
22-01-2018 08:15,Monday,New York,50,45,5
22-01-2018 08:30,Monday,New York,50,47,3
22-01-2018 08:45,Monday,New York,50,50,0
22-01-2018 09:00,Monday,New York,50,44,6
23-01-2018 07:15,Tuesday,New York,50,36,14
23-01-2018 07:30,Tuesday,New York,50,49,1
23-01-2018 07:45,Tuesday,New York,50,39,11
23-01-2018 08:00,Tuesday,New York,50,40,10
23-01-2018 08:15,Tuesday,New York,50,45,5
23-01-2018 08:30,Tuesday,New York,50,50,0
23-01-2018 08:45,Tuesday,New York,50,45,5
23-01-2018 09:00,Tuesday,New York,50,38,12
24-01-2018 07:15,Wednesday,New York,50,37,13
24-01-2018 07:30,Wednesday,New York,50,36,14
24-01-2018 07:45,Wednesday,New York,50,41,9
24-01-2018 08:00,Wednesday,New York,50,36,14
24-01-2018 08:15,Wednesday,New York,50,48,2
24-01-2018 08:30,Wednesday,New York,50,42,8
24-01-2018 08:45,Wednesday,New York,50,42,8
24-01-2018 09:00,Wednesday,New York,50,38,12
25-01-2018 07:15,Thursday,New York,50,40,10
25-01-2018 07:30,Thursday,New York,50,41,9
25-01-2018 07:45,Thursday,New York,50,46,4
25-01-2018 08:00,Thursday,New York,50,36,14
25-01-2018 08:15,Thursday,New York,50,49,1
25-01-2018 08:30,Thursday,New York,50,38,12
25-01-2018 08:45,Thursday,New York,50,49,1
25-01-2018 09:00,Thursday,New York,50,43,7
26-01-2018 07:15,Friday,New York,50,44,6
26-01-2018 07:30,Friday,New York,50,43,7
26-01-2018 07:45,Friday,New York,50,45,5
26-01-2018 08:00,Friday,New York,50,39,11
26-01-2018 08:15,Friday,New York,50,49,1
26-01-2018 08:30,Friday,New York,50,40,10
26-01-2018 08:45,Friday,New York,50,37,13
26-01-2018 09:00,Friday,New York,50,44,6
27-01-2018 07:15,Saturday,New York,50,49,1
27-01-2018 07:30,Saturday,New York,50,46,4
27-01-2018 07:45,Saturday,New York,50,37,13
27-01-2018 08:00,Saturday,New York,50,46,4
27-01-2018 08:15,Saturday,New York,50,45,5
27-01-2018 08:30,Saturday,New York,50,41,9
27-01-2018 08:45,Saturday,New York,50,37,13
27-01-2018 09:00,Saturday,New York,50,44,6
28-01-2018 07:15,Sunday,New York,50,47,3
28-01-2018 07:30,Sunday,New York,50,46,4
28-01-2018 07:45,Sunday,New York,50,35,15
28-01-2018 08:00,Sunday,New York,50,38,12
28-01-2018 08:15,Sunday,New York,50,39,11
28-01-2018 08:30,Sunday,New York,50,50,0
28-01-2018 08:45,Sunday,New York,50,46,4
28-01-2018 09:00,Sunday,New York,50,43,7
29-01-2018 07:15,Monday,New York,50,37,13
29-01-2018 07:30,Monday,New York,50,36,14
29-01-2018 07:45,Monday,New York,50,43,7
29-01-2018 08:00,Monday,New York,50,41,9
29-01-2018 08:15,Monday,New York,50,46,4
29-01-2018 08:30,Monday,New York,50,46,4
29-01-2018 08:45,Monday,New York,50,47,3
29-01-2018 09:00,Monday,New York,50,38,12
30-01-2018 07:15,Tuesday,New York,50,40,10
30-01-2018 07:30,Tuesday,New York,50,47,3
30-01-2018 07:45,Tuesday,New York,50,49,1
30-01-2018 08:00,Tuesday,New York,50,45,5
30-01-2018 08:15,Tuesday,New York,50,37,13
30-01-2018 08:30,Tuesday,New York,50,45,5
30-01-2018 08:45,Tuesday,New York,50,49,1
30-01-2018 09:00,Tuesday,New York,50,38,12
31-01-2018 07:15,Wednesday,New York,50,37,13
31-01-2018 07:30,Wednesday,New York,50,48,2
31-01-2018 07:45,Wednesday,New York,50,47,3
31-01-2018 08:00,Wednesday,New York,50,35,15
31-01-2018 08:15,Wednesday,New York,50,42,8
31-01-2018 08:30,Wednesday,New York,50,38,12
31-01-2018 08:45,Wednesday,New York,50,38,12
31-01-2018 09:00,Wednesday,New York,50,48,2
01-02-2018 7:15,Thursday,New York,50,48,2
01-02-2018 7:30,Thursday,New York,50,44,6
01-02-2018 7:45,Thursday,New York,50,44,6
01-02-2018 8:00,Thursday,New York,50,50,0
01-02-2018 8:15,Thursday,New York,50,42,8
01-02-2018 8:30,Thursday,New York,50,40,10
01-02-2018 8:45,Thursday,New York,50,39,11
01-02-2018 9:00,Thursday,New York,50,42,8
02-02-2018 7:15,Friday,New York,50,50,0
02-02-2018 7:30,Friday,New York,50,43,7
02-02-2018 7:45,Friday,New York,50,41,9
02-02-2018 8:00,Friday,New York,50,50,0
02-02-2018 8:15,Friday,New York,50,38,12
02-02-2018 8:30,Friday,New York,50,43,7
02-02-2018 8:45,Friday,New York,50,42,8
02-02-2018 9:00,Friday,New York,50,44,6
03-02-2018 7:15,Saturday,New York,50,36,14
03-02-2018 7:30,Saturday,New York,50,42,8
03-02-2018 7:45,Saturday,New York,50,46,4
03-02-2018 8:00,Saturday,New York,50,35,15
03-02-2018 8:15,Saturday,New York,50,36,14
03-02-2018 8:30,Saturday,New York,50,43,7
03-02-2018 8:45,Saturday,New York,50,48,2
03-02-2018 9:00,Saturday,New York,50,37,13
04-02-2018 7:15,Sunday,New York,50,45,5
04-02-2018 7:30,Sunday,New York,50,39,11
04-02-2018 7:45,Sunday,New York,50,40,10
04-02-2018 8:00,Sunday,New York,50,37,13
04-02-2018 8:15,Sunday,New York,50,48,2
04-02-2018 8:30,Sunday,New York,50,41,9
04-02-2018 8:45,Sunday,New York,50,39,11
04-02-2018 9:00,Sunday,New York,50,36,14
05-02-2018 7:15,Monday,New York,50,50,0
05-02-2018 7:30,Monday,New York,50,44,6
05-02-2018 7:45,Monday,New York,50,42,8
05-02-2018 8:00,Monday,New York,50,41,9
05-02-2018 8:15,Monday,New York,50,44,6
05-02-2018 8:30,Monday,New York,50,47,3
05-02-2018 8:45,Monday,New York,50,45,5
05-02-2018 9:00,Monday,New York,50,40,10
06-02-2018 7:15,Tuesday,New York,50,50,0
06-02-2018 7:30,Tuesday,New York,50,47,3
06-02-2018 7:45,Tuesday,New York,50,48,2
06-02-2018 8:00,Tuesday,New York,50,50,0
06-02-2018 8:15,Tuesday,New York,50,36,14
06-02-2018 8:30,Tuesday,New York,50,43,7
06-02-2018 8:45,Tuesday,New York,50,47,3
06-02-2018 9:00,Tuesday,New York,50,45,5
07-02-2018 7:15,Wednesday,New York,50,38,12
07-02-2018 7:30,Wednesday,New York,50,47,3
07-02-2018 7:45,Wednesday,New York,50,48,2
07-02-2018 8:00,Wednesday,New York,50,45,5
07-02-2018 8:15,Wednesday,New York,50,35,15
07-02-2018 8:30,Wednesday,New York,50,37,13
07-02-2018 8:45,Wednesday,New York,50,36,14
07-02-2018 9:00,Wednesday,New York,50,44,6
08-02-2018 7:15,Thursday,New York,50,49,1
08-02-2018 7:30,Thursday,New York,50,39,11
08-02-2018 7:45,Thursday,New York,50,40,10
08-02-2018 8:00,Thursday,New York,50,45,5
08-02-2018 8:15,Thursday,New York,50,40,10
08-02-2018 8:30,Thursday,New York,50,46,4
08-02-2018 8:45,Thursday,New York,50,43,7
08-02-2018 9:00,Thursday,New York,50,41,9
09-02-2018 7:15,Friday,New York,50,48,2
09-02-2018 7:30,Friday,New York,50,48,2
09-02-2018 7:45,Friday,New York,50,45,5
09-02-2018 8:00,Friday,New York,50,43,7
09-02-2018 8:15,Friday,New York,50,46,4
09-02-2018 8:30,Friday,New York,50,38,12
09-02-2018 8:45,Friday,New York,50,37,13
09-02-2018 9:00,Friday,New York,50,42,8
10-02-2018 7:15,Saturday,New York,50,36,14
10-02-2018 7:30,Saturday,New York,50,43,7
10-02-2018 7:45,Saturday,New York,50,46,4
10-02-2018 8:00,Saturday,New York,50,35,15
10-02-2018 8:15,Saturday,New York,50,38,12
10-02-2018 8:30,Saturday,New York,50,44,6
10-02-2018 8:45,Saturday,New York,50,41,9
10-02-2018 9:00,Saturday,New York,50,46,4
11-02-2018 7:15,Sunday,New York,50,49,1
11-02-2018 7:30,Sunday,New York,50,43,7
11-02-2018 7:45,Sunday,New York,50,45,5
11-02-2018 8:00,Sunday,New York,50,39,11
11-02-2018 8:15,Sunday,New York,50,48,2
11-02-2018 8:30,Sunday,New York,50,40,10
11-02-2018 8:45,Sunday,New York,50,45,5
11-02-2018 9:00,Sunday,New York,50,48,2
12-02-2018 7:15,Monday,New York,50,44,6
12-02-2018 7:30,Monday,New York,50,38,12
12-02-2018 7:45,Monday,New York,50,50,0
12-02-2018 8:00,Monday,New York,50,41,9
12-02-2018 8:15,Monday,New York,50,43,7
12-02-2018 8:30,Monday,New York,50,50,0
12-02-2018 8:45,Monday,New York,50,47,3
12-02-2018 9:00,Monday,New York,50,41,9
13-02-2018 07:15,Tuesday,New York,50,41,9
13-02-2018 07:30,Tuesday,New York,50,49,1
13-02-2018 07:45,Tuesday,New York,50,48,2
13-02-2018 08:00,Tuesday,New York,50,44,6
13-02-2018 08:15,Tuesday,New York,50,35,15
13-02-2018 08:30,Tuesday,New York,50,39,11
13-02-2018 08:45,Tuesday,New York,50,45,5
13-02-2018 09:00,Tuesday,New York,50,37,13
14-02-2018 07:15,Wednesday,New York,50,42,8
14-02-2018 07:30,Wednesday,New York,50,39,11
14-02-2018 07:45,Wednesday,New York,50,44,6
14-02-2018 08:00,Wednesday,New York,50,48,2
14-02-2018 08:15,Wednesday,New York,50,42,8
14-02-2018 08:30,Wednesday,New York,50,50,0
14-02-2018 08:45,Wednesday,New York,50,36,14
14-02-2018 09:00,Wednesday,New York,50,46,4
15-02-2018 07:15,Thursday,New York,50,45,5
15-02-2018 07:30,Thursday,New York,50,47,3
15-02-2018 07:45,Thursday,New York,50,50,0
15-02-2018 08:00,Thursday,New York,50,49,1
15-02-2018 08:15,Thursday,New York,50,39,11
15-02-2018 08:30,Thursday,New York,50,42,8
15-02-2018 08:45,Thursday,New York,50,42,8
15-02-2018 09:00,Thursday,New York,50,45,5
16-02-2018 07:15,Friday,New York,50,44,6
16-02-2018 07:30,Friday,New York,50,41,9
16-02-2018 07:45,Friday,New York,50,45,5
16-02-2018 08:00,Friday,New York,50,50,0
16-02-2018 08:15,Friday,New York,50,40,10
16-02-2018 08:30,Friday,New York,50,47,3
16-02-2018 08:45,Friday,New York,50,36,14
16-02-2018 09:00,Friday,New York,50,48,2
17-02-2018 07:15,Saturday,New York,50,46,4
17-02-2018 07:30,Saturday,New York,50,35,15
17-02-2018 07:45,Saturday,New York,50,39,11
17-02-2018 08:00,Saturday,New York,50,50,0
17-02-2018 08:15,Saturday,New York,50,45,5
17-02-2018 08:30,Saturday,New York,50,35,15
17-02-2018 08:45,Saturday,New York,50,44,6
17-02-2018 09:00,Saturday,New York,50,50,0
17-02-2018 07:15,Sunday,New York,50,46,4
18-02-2018 07:30,Sunday,New York,50,39,11
18-02-2018 07:45,Sunday,New York,50,42,8
18-02-2018 08:00,Sunday,New York,50,40,10
18-02-2018 08:15,Sunday,New York,50,40,10
18-02-2018 08:30,Sunday,New York,50,37,13
18-02-2018 08:45,Sunday,New York,50,49,1
18-02-2018 09:00,Sunday,New York,50,43,7
19-02-2018 07:15,Monday,New York,50,44,6
19-02-2018 07:30,Monday,New York,50,50,0
19-02-2018 07:45,Monday,New York,50,48,2
19-02-2018 08:00,Monday,New York,50,44,6
19-02-2018 08:15,Monday,New York,50,48,2
19-02-2018 08:30,Monday,New York,50,44,6
19-02-2018 08:45,Monday,New York,50,47,3
19-02-2018 09:00,Monday,New York,50,39,11
20-02-2018 07:15,Tuesday,New York,50,40,10
20-02-2018 07:30,Tuesday,New York,50,35,15
20-02-2018 07:45,Tuesday,New York,50,45,5
20-02-2018 08:00,Tuesday,New York,50,42,8
20-02-2018 08:15,Tuesday,New York,50,36,14
20-02-2018 08:30,Tuesday,New York,50,35,15
20-02-2018 08:45,Tuesday,New York,50,45,5
20-02-2018 09:00,Tuesday,New York,50,35,15
21-02-2018 07:15,Wednesday,New York,50,40,10
21-02-2018 07:30,Wednesday,New York,50,42,8
21-02-2018 07:45,Wednesday,New York,50,37,13
21-02-2018 08:00,Wednesday,New York,50,41,9
21-02-2018 08:15,Wednesday,New York,50,40,10
21-02-2018 08:30,Wednesday,New York,50,38,12
21-02-2018 08:45,Wednesday,New York,50,41,9
21-02-2018 09:00,Wednesday,New York,50,36,14
22-02-2018 07:15,Thursday,New York,50,47,3
22-02-2018 07:30,Thursday,New York,50,50,0
22-02-2018 07:45,Thursday,New York,50,40,10
22-02-2018 08:00,Thursday,New York,50,43,7
22-02-2018 08:15,Thursday,New York,50,50,0
22-02-2018 08:30,Thursday,New York,50,44,6
22-02-2018 08:45,Thursday,New York,50,42,8
22-02-2018 09:00,Thursday,New York,50,50,0
23-02-2018 07:15,Friday,New York,50,50,0
23-02-2018 07:30,Friday,New York,50,38,12
23-02-2018 07:45,Friday,New York,50,43,7
23-02-2018 08:00,Friday,New York,50,46,4
23-02-2018 08:15,Friday,New York,50,46,4
23-02-2018 08:30,Friday,New York,50,45,5
23-02-2018 08:45,Friday,New York,50,50,0
23-02-2018 09:00,Friday,New York,50,50,0
24-02-2018 07:15,Saturday,New York,50,38,12
24-02-2018 07:30,Saturday,New York,50,43,7
24-02-2018 07:45,Saturday,New York,50,35,15
24-02-2018 08:00,Saturday,New York,50,47,3
24-02-2018 08:15,Saturday,New York,50,41,9
24-02-2018 08:30,Saturday,New York,50,44,6
24-02-2018 08:45,Saturday,New York,50,50,0
24-02-2018 09:00,Saturday,New York,50,36,14
25-02-2018 07:15,Sunday,New York,50,39,11
25-02-2018 07:30,Sunday,New York,50,44,6
25-02-2018 07:45,Sunday,New York,50,48,2
25-02-2018 08:00,Sunday,New York,50,35,15
25-02-2018 08:15,Sunday,New York,50,44,6
25-02-2018 08:30,Sunday,New York,50,37,13
25-02-2018 08:45,Sunday,New York,50,46,4
25-02-2018 09:00,Sunday,New York,50,41,9
26-02-2018 07:15,Monday,New York,50,50,0
26-02-2018 07:30,Monday,New York,50,42,8
26-02-2018 07:45,Monday,New York,50,49,1
26-02-2018 08:00,Monday,New York,50,46,4
26-02-2018 08:15,Monday,New York,50,47,3
26-02-2018 08:30,Monday,New York,50,40,10
26-02-2018 08:45,Monday,New York,50,36,14
26-02-2018 09:00,Monday,New York,50,50,0
27-02-2018 07:15,Tuesday,New York,50,45,5
27-02-2018 07:30,Tuesday,New York,50,38,12
27-02-2018 07:45,Tuesday,New York,50,47,3
27-02-2018 08:00,Tuesday,New York,50,41,9
27-02-2018 08:15,Tuesday,New York,50,45,5
27-02-2018 08:30,Tuesday,New York,50,46,4
27-02-2018 08:45,Tuesday,New York,50,45,5
27-02-2018 09:00,Tuesday,New York,50,41,9
28-02-2018 07:15,Wednesday,New York,50,45,5
28-02-2018 07:30,Wednesday,New York,50,42,8
28-02-2018 07:45,Wednesday,New York,50,37,13
28-02-2018 08:00,Wednesday,New York,50,35,15
28-02-2018 08:15,Wednesday,New York,50,39,11
28-02-2018 08:30,Wednesday,New York,50,49,1
28-02-2018 08:45,Wednesday,New York,50,45,5
28-02-2018 09:00,Wednesday,New York,50,38,12
01-03-2018 7:15,Thursday,New York,50,46,4
01-03-2018 7:30,Thursday,New York,50,49,1
01-03-2018 7:45,Thursday,New York,50,44,6
01-03-2018 8:00,Thursday,New York,50,47,3
01-03-2018 8:15,Thursday,New York,50,41,9
01-03-2018 8:30,Thursday,New York,50,38,12
01-03-2018 8:45,Thursday,New York,50,38,12
01-03-2018 9:00,Thursday,New York,50,47,3
02-03-2018 7:15,Friday,New York,50,38,12
02-03-2018 7:30,Friday,New York,50,37,13
02-03-2018 7:45,Friday,New York,50,50,0
02-03-2018 8:00,Friday,New York,50,46,4
02-03-2018 8:15,Friday,New York,50,47,3
02-03-2018 8:30,Friday,New York,50,43,7
02-03-2018 8:45,Friday,New York,50,44,6
02-03-2018 9:00,Friday,New York,50,41,9
03-03-2018 7:15,Saturday,New York,50,40,10
03-03-2018 7:30,Saturday,New York,50,37,13
03-03-2018 7:45,Saturday,New York,50,39,11
03-03-2018 8:00,Saturday,New York,50,44,6
03-03-2018 8:15,Saturday,New York,50,43,7
03-03-2018 8:30,Saturday,New York,50,41,9
03-03-2018 8:45,Saturday,New York,50,37,13
03-03-2018 9:00,Saturday,New York,50,38,12
04-03-2018 7:15,Sunday,New York,50,39,11
04-03-2018 7:30,Sunday,New York,50,42,8
04-03-2018 7:45,Sunday,New York,50,48,2
04-03-2018 8:00,Sunday,New York,50,40,10
04-03-2018 8:15,Sunday,New York,50,49,1
04-03-2018 8:30,Sunday,New York,50,44,6
04-03-2018 8:45,Sunday,New York,50,48,2
04-03-2018 9:00,Sunday,New York,50,35,15
05-03-2018 7:15,Monday,New York,50,48,2
05-03-2018 7:30,Monday,New York,50,38,12
05-03-2018 7:45,Monday,New York,50,48,2
05-03-2018 8:00,Monday,New York,50,50,0
05-03-2018 8:15,Monday,New York,50,38,12
05-03-2018 8:30,Monday,New York,50,49,1
05-03-2018 8:45,Monday,New York,50,42,8
05-03-2018 9:00,Monday,New York,50,35,15
06-03-2018 7:15,Tuesday,New York,50,35,15
06-03-2018 7:30,Tuesday,New York,50,41,9
06-03-2018 7:45,Tuesday,New York,50,50,0
06-03-2018 8:00,Tuesday,New York,50,50,0
06-03-2018 8:15,Tuesday,New York,50,45,5
06-03-2018 8:30,Tuesday,New York,50,39,11
06-03-2018 8:45,Tuesday,New York,50,45,5
06-03-2018 9:00,Tuesday,New York,50,37,13
07-03-2018 7:15,Wednesday,New York,50,40,10
07-03-2018 7:30,Wednesday,New York,50,44,6
07-03-2018 7:45,Wednesday,New York,50,45,5
07-03-2018 8:00,Wednesday,New York,50,36,14
07-03-2018 8:15,Wednesday,New York,50,46,4
07-03-2018 8:30,Wednesday,New York,50,42,8
07-03-2018 8:45,Wednesday,New York,50,45,5
07-03-2018 9:00,Wednesday,New York,50,43,7
08-03-2018 7:15,Thursday,New York,50,46,4
08-03-2018 7:30,Thursday,New York,50,45,5
08-03-2018 7:45,Thursday,New York,50,48,2
08-03-2018 8:00,Thursday,New York,50,42,8
08-03-2018 8:15,Thursday,New York,50,50,0
08-03-2018 8:30,Thursday,New York,50,45,5
08-03-2018 8:45,Thursday,New York,50,41,9
08-03-2018 9:00,Thursday,New York,50,40,10
09-03-2018 7:15,Friday,New York,50,42,8
09-03-2018 7:30,Friday,New York,50,47,3
09-03-2018 7:45,Friday,New York,50,36,14
09-03-2018 8:00,Friday,New York,50,36,14
09-03-2018 8:15,Friday,New York,50,38,12
09-03-2018 8:30,Friday,New York,50,45,5
09-03-2018 8:45,Friday,New York,50,49,1
09-03-2018 9:00,Friday,New York,50,40,10
10-03-2018 7:15,Saturday,New York,50,42,8
10-03-2018 7:30,Saturday,New York,50,37,13
10-03-2018 7:45,Saturday,New York,50,37,13
10-03-2018 8:00,Saturday,New York,50,39,11
10-03-2018 8:15,Saturday,New York,50,40,10
10-03-2018 8:30,Saturday,New York,50,44,6
10-03-2018 8:45,Saturday,New York,50,46,4
10-03-2018 9:00,Saturday,New York,50,44,6
11-03-2018 7:15,Sunday,New York,50,48,2
11-03-2018 7:30,Sunday,New York,50,40,10
11-03-2018 7:45,Sunday,New York,50,48,2
11-03-2018 8:00,Sunday,New York,50,41,9
11-03-2018 8:15,Sunday,New York,50,45,5
11-03-2018 8:30,Sunday,New York,50,50,0
